model_name,predictions
Qwen2.5-7B-Base+RAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
enable secret MyS3cr3t
line console 0
 exec-timeout 0 0
!
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
ip routing
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
aaa new-model
!
aaa authentication login default group tacacs+ local
!
aaa authorization exec default group tacacs+ local
!
line vty 0 15
 transport input ssh
 login authentication default
!
ip tacacs server 10.0.0.10
ip tacacs source-interface Ethernet0/0
ip tacacs key 7 TacKey!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
enable secret T0p$ecret
no ip domain-lookup
ip domain-name wan.corp
ip name-server 10.0.0.53
line con 0
 exec-timeout 5 0
!
line vty 0 15
 exec-timeout 10 0
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/1
 description 'WAN to R2'
 ip address 10.0.12.1 255.255.255.0
 no shutdown
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
enable secret Admin!2024
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
router rip
 version 2
 network 10.0.12.0
 network 10.0.23.0
 network 10.0.24.0
 no auto-summary
!
interface Ethernet0/0
 shutdown
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface vlan 10
 ip address 10.0.10.1 255.255.255.0
!
interface vlan 20
 ip address 10.0.20.1 255.255.255.0
!
interface vlan 30
 ip address 10.0.30.1 255.255.255.0
!
interface vlan 99
 ip address 10.0.99.1 255.255.255.0
!
ip default-gateway 10.0.99.254
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface loopback 0
 ip address 1.1.1.1 255.255.255.255
!
interface loopback 1
 ip address 2.2.2.2 255.255.255.255
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
enable secret P@ssw0rd!
ip domain-name branch.corp
ip name-server 8.8.8.8
no ip domain-lookup
interface Loopback0
 ip address 10.255.1.1 255.255.255.255
!
line console 0
 password 5dr4Hepw3
 login
 exec-timeout 5 0
!
line vty 0 4
 password aldf2ad1
 login
 exec-timeout 15 0
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface gigabitethernet 0/0/0.10
 encapsulation dot1q 10
 ip address 10.0.10.1 255.255.255.0
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface fastethernet 0/0.40
 encapsulation dot1q 40 native
 bridge-group 2
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
interface gigabitethernet 0/0/0.10
 encapsulation dot1q 10
 ip address 10.0.10.1 255.255.255.0
!
interface gigabitethernet 0/0/0.20
 encapsulation dot1q 20
 ip address 10.0.20.1 255.255.255.0
!
interface gigabitethernet 0/0/0.30
 encapsulation dot1q 30
 ip address 10.0.30.1 255.255.255.0
!
ip routing
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet0/1
 mdix auto
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/24
 switchport mode trunk
 switchport trunk encapsulation dot1q
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
interface fastethernet 0/0.20
 ip address 10.0.20.1 255.255.255.0
!
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface gigabitethernet 0/0/2.30
 ip address 10.0.30.1 255.255.255.0
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface fastethernet 0/0/2.30
 encapsulation dot1q 30
 bridge-group 1
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
interface gigabitethernet 0/0.10
 encapsulation dot1q 10
 ip address 10.0.10.1 255.255.255.0
!
interface gigabitethernet 0/0.20
 encapsulation dot1q 20
 ip address 10.0.20.1 255.255.255.0
!
ip routing
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
!
interface Ethernet0/1
 no shutdown
 ip address unnumbered Loopback0
!
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
interface gigabitethernet 0/0
 ip address 10.0.12.2 255.255.255.0
 no shutdown
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface gigabitethernet 0/0/2
 description LAN to SW2
 ip address 10.0.2.1 255.255.255.0
 no shutdown
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Tunnel0
 ip address 172.16.0.1 255.255.255.252
 tunnel source 10.0.1.1
 tunnel destination 10.0.12.2
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
crypto isakmp policy 1
 encryption aes
 hash sha
 authentication pre-share
 encryption-key SecretKey123
 group 2
!
crypto isakmp key SecretKey123 address 10.0.12.2
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface gigabitethernet 0/0.10
 ip address 10.0.10.129 255.255.255.128
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
!
interface loopback 0
 ip address 10.0.0.1 255.255.255.255
!
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface range fastethernet 0/0.1 - fastethernet 0/0.4
 encapsulation dot1q 10
 ip address 10.0.10.1 255.255.255.0
!
interface range fastethernet 0/0.2 - fastethernet 0/0.2
 encapsulation dot1q 20
 ip address 10.0.20.1 255.255.255.0
!
interface range fastethernet 0/0.3 - fastethernet 0/0.3
 encapsulation dot1q 30
 ip address 10.0.30.1 255.255.255.0
!
interface range fastethernet 0/0.4 - fastethernet 0/0.4
 encapsulation dot1q 99
 ip address 10.0.99.1 255.255.
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface gigabitethernet 0/2.30
 encapsulation dot1q 30
 ip address 10.0.30.1 255.255.255.0
!
interface gigabitethernet 0/2.40
 encapsulation dot1q 40 native
 ip address 10.0.40.1 255.255.255.0
!
interface loopback 0
 ip address 10.255.3.3 255.255.255.255
!
ip routing
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW2
!
interface fastethernet0/24
 mdix auto
 duplex full
!
!
end
[/configs/switch2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
!
interface Ethernet0/0
 no shutdown
 ip address unnumbered loopback 0
!
interface Ethernet0/1
 no shutdown
 ip address unnumbered loopback 0
!
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 lacp rate fast
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
spanning-tree uplinkfast max-update-rate 150
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW2
!
interface fastethernet 0/1
 spanning-tree guard root
!
!
end
[/configs/switch2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 lacp port-priority 16000
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
vtp mode transparent
vlan 30
 private-vlan primary
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW2
!
vlan 30
 private-vlan primary
!
vlan 301
 private-vlan isolated
!
vlan 302
 private-vlan community
!
vlan 30
 private-vlan association 301-302
!
!
end
[/configs/switch2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
mac address-table aging-time 600 vlan 10
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 switchport mode private-vlan trunk secondary
 switchport private-vlan association trunk 10 101
 switchport private-vlan trunk allowed vlan 10 101
 switchport private-vlan trunk native vlan 10
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface port-channel 1
 ipv6 nd raguard policy raguard-policy
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
spanning-tree vlan 10 forward-time 8
spanning-tree uplinkfast max-update-rate 200
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 channel-group 1 mode active
 lacp rate fast
 lacp port-priority 4096
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
vlan 10
 private-vlan primary
!
vlan 11
 private-vlan isolated
!
vlan 12
 private-vlan community
!
vlan 10
 private-vlan association 11-12
!
interface fastethernet 0/1
 switchport mode private-vlan trunk secondary
 switchport private-vlan association trunk 10 11
 switchport private-vlan trunk allowed vlan add 10-11
 switchport private-vlan trunk native vlan 10
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
vlan 10
 name DATA
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW2
!
interface fa0/1
 switchport mode access
 switchport access vlan 30
!
!
end
[/configs/switch2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/24
 switchport mode trunk
 switchport trunk allowed vlan 10,20
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW2
!
spanning-tree vlan 1 hello-time 2
spanning-tree vlan 1 max-age 20
!
end
[/configs/switch2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
vtp domain eng_group
vtp mode transparent
vtp password mypassword
vlan 10
!
vlan 20
!
vlan 30
!
interface Fa0/1
 switchport mode access
 switchport access vlan 10
!
interface Fa0/24
 switchport mode trunk
 switchport trunk allowed vlan 10,20
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface port-channel 1
 port-channel load-balance src-dst-ip
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW2
!
interface fastethernet 0/1
 lacp port-priority 64000
!
!
end
[/configs/switch2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
vlan 999
 remote-span
!
interface fastethernet 0/1
 switchport mode trunk
!
interface fastethernet 0/24
 switchport mode trunk
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip access-list extended 110
 remark Allow Telnet traffic from any source to 10.0.0.0/8
 permit telnet any 10.0.0.0 0.255.255.255
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
ip access-list extended BLOCK-WEB
 remark deny http from 192.168.2.0/24 to 10.10.1.5
 deny tcp 192.168.2.0 0.0.0.255 host 10.10.1.5 eq www
 remark permit all other tcp
 permit tcp any any
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
interface GigabitEthernet0/0
 ip access-group BLOCK-WEB in
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 ip verify source
 ip source binding 00aa.bbcc.0001 vlan 10 ip 10.0.1.10 interface fastethernet 0/1
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 switchport mode access
 switchport port-security
 switchport port-security maximum 3
 switchport port-security violation shutdown
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
object-group service WEB-SERVICES
 object-group service GENERATED
  description Web Services Ports
  tcp 80 443
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
zone security inside
!
zone security outside
!
interface Ethernet0/1
 zone-member security inside
!
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
ip access-list resequence MGMT-ACL 10 10
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router4.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R4
!
ip access-list extended GENERATED
 permit ip host 10.5.5.10 any seq 25
 deny ip 10.6.6.0 0.0.0.255 any seq 30
!
!
end
[/configs/router4.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
ip access-list extended PROTECT-SERVER
 remark deny IP from 172.20.0.0/16 to any
 deny ip 172.20.0.0 0.0.255.255 any
 remark permit all other IP
 permit ip any any
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface GigabitEthernet0/0
 ip access-group 120 out
 ip access-group LAN-IN in
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
zone security inside
!
zone security outside
!
zone-pair security INSIDE-to-OUTSIDE source inside destination outside
 zone-pair security GENERATED source inside destination outside
  service-policy type inspect ZBFW-POLICY
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet 0/1
 switchport mode access
 switchport voice vlan 20
 switchport port-security
 switchport port-security maximum 2 vlan access
 switchport port-security violation restrict
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface fastethernet0/1
 ip access-group 2 in
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
ip access-list standard acl10
 permit host 192.168.1.100
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/0
 ip nat outside
!
ip access-list extended 1
 permit ip any any
!
ip nat inside source list 1 interface Ethernet0/0 overload
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
ip access-list extended 150
 remark deny icmp from 10.0.0.0/8 to any
 deny icmp any any
 remark permit tcp any to 172.16.0.0/12 eq 443
 permit tcp any eq 443 172.16.0.0/12
 remark permit udp any any eq 53
 permit udp any any eq 53
 remark permit tcp any host 10.0.23.1 eq 22
 permit tcp any host 10.0.23.1 eq 22
 remark deny ip any any log
 deny ip any any log
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
zone security inside
!
zone security dmz
!
zone security outside
!
zone-pair security inside-to-outside source inside destination outside
 zone-pair security GENERATED source inside destination outside
  service-policy type inspect zbfw-in
!
zone-pair security dmz-to-outside source dmz destination outside
 zone-pair security GENERATED source inside destination outside
  service-policy type inspect zbfw-dmz
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router2.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R2
!
ip access-list standard 20
 permit 192.168.1.0 0.0.0.255
 deny any
!
line vty 0 4
 ip access-group 20 in
!
!
end
[/configs/router2.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/switch1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname SW1
!
interface FastEthernet 0/1
 switchport mode access
 switchport port-security
 switchport port-security maximum 2
 switchport port-security violation restrict
 switchport port-security mac-address sticky
!
interface FastEthernet 0/2
 switchport mode access
 switchport port-security
 switchport port-security maximum 1
 switchport port-security violation shutdown
 switchport port-security mac-address sticky
!
interface FastEthernet 0/3
 switchport mode access
 switchport port-security
 switchport port-security maximum 3
 switchport port-security violation protect
 switchport port-security mac-address sticky
!
!
end
[/configs/switch1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
snmp-server enable traps hsrp
snmp-server host 10.0.1.5 netops hsrp
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/0
 ip address 10.0.1.1 255.255.255.0
 standby mac-refresh 60
 standby 2 group HSRP-MAIN
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface GigabitEthernet0/0
 standby redirect
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
fhrp version vrrp v3
!
interface Ethernet0/0
 ip address 10.0.1.254 255.255.255.0
 vrrp 1 address-family ipv4
 vrrp 1 address-family ipv4
  address 10.0.1.254
!
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface ethernet 0/2
 ip address 10.0.2.1 255.255.255.0
 glbp 5 timers 5 15
 glbp 5 load-balancing weighted
 glbp 5 priority 120
 glbp 5 preempt delay minimum 30
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/0
 ip address 10.0.1.1 255.255.255.0
 standby 1 ip 10.0.1.254
 standby 1 priority 110
 standby 1 preempt
 standby 1 timer hello 3
 standby 1 timer hold 10
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
fhrp version vrrp v3
!
interface Ethernet0/2
 vrrp 10 address-family ipv6
 vrrp 1 address-family ipv4
  address 2001:db8:2::fe primary
  priority 150
  preempt delay minimum 5
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
interface Ethernet0/0
 ip address 10.0.1.1 255.255.255.0
 standby 1 ip 10.0.1.254
 standby 1 priority 100
 standby 1 preempt
 standby 1 icmp redirect disable
 standby 1 group 2 follow group 1
!
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/0
 ip address 10.0.1.1 255.255.255.0
 standby 1 ip 10.0.1.254
 standby 1 preempt
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface Ethernet0/2
 vrrp 1 address-family ipv4
 vrrp 1 address-family ipv4
  address 10.0.2.254 primary
  priority 120
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname Router
!
interface Ethernet0/1
 track ip line-protocol decrement 20 hsrp 1
!
!
end
[/configs/router.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
interface Ethernet0/0
 ip address 10.0.1.1 255.255.255.0
 bfd interval 300 min_rx 300 multiplier 3
 standby 1 ip 10.0.1.1
!
!
end
[/configs/router1.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router3.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R3
!
interface ethernet 0/2
 ip address 10.0.2.1 255.255.255.0
 glbp 3 timers 3 10
 glbp 3 timers redirect 1800 28800
 glbp 3 load-balancing round-robin
 glbp 3 priority 90
 glbp 3 preempt delay minimum 45
!
!
end
[/configs/router3.cfg]"
Qwen2.5-7B-Base+RAG_topo,"[configs/router1.cfg]
!RANCID-CONTENT-TYPE: cisco
!
hostname R1
!
fhrp version vrrp v3
!
interface Ethernet0/0
 vrrp 5 address-family ipv4
 vrrp 1 address-family ipv4
  address 10.0.1.254 primary
  priority 200
  preempt delay minimum 60
  timers advertise 3
!
!
end
[/configs/router1.cfg]"
